Subj,Age,Sex,Block,Cue_L,Cue_R,Out_C,Out_I,Norm_Rev,Resp_Key,Acc,RT,FixReps
101,19,f,11,3,1,1,2,0,65,1,674.239062647757,0
101,19,f,11,3,2,2,1,0,77,1,739.424273323493,0
101,19,f,12,2,4,2,1,0,77,1,680.844005503786,0
101,19,f,12,3,1,1,2,0,65,1,641.0754939443,0
101,19,f,12,2,3,2,1,0,90,1,1160.13598074369,0
101,19,f,12,2,3,2,1,0,90,1,1129.5656693901,0
101,19,f,12,2,4,2,1,0,90,1,855.608300114,0
101,19,f,12,1,4,1,2,0,90,1,640.715378006462,0
101,19,f,12,1,4,1,2,0,90,1,586.31191171844,0
101,19,f,12,3,1,1,2,0,77,1,681.847681523323,0
101,19,f,13,1,3,1,2,0,77,1,992.653091533612,0
101,19,f,13,3,2,2,1,0,65,1,680.520112459817,0
101,19,f,13,3,1,1,2,0,90,1,837.476930544653,0
101,19,f,13,4,2,2,1,0,90,1,818.266118734755,0
101,19,f,13,4,1,1,2,0,77,1,590.904069098542,0
101,19,f,13,3,1,1,2,0,90,1,616.479847090886,0
101,19,f,13,1,4,1,2,0,77,1,836.207016253866,0
101,19,f,13,2,3,2,1,0,90,1,1092.3810575996,0
101,19,f,14,1,3,1,2,0,75,1,1157.51797108351,0
101,19,f,14,3,1,1,2,0,90,1,911.996780992013,0
101,19,f,14,4,2,2,1,0,65,1,791.237198980525,0
101,19,f,14,4,1,1,2,0,90,1,780.349804486832,0
101,19,f,14,1,3,1,2,0,90,1,767.061435839423,0
101,19,f,14,4,1,1,2,0,77,1,867.451375293058,0
101,19,f,14,2,4,2,1,0,65,1,646.688835077839,0
101,19,f,14,1,3,1,2,0,77,1,589.2363066896,0
101,19,f,15,2,3,2,1,0,75,1,997.109111204736,0
101,19,f,15,4,2,2,1,0,65,1,891.254344483059,0
101,19,f,15,2,3,2,1,0,77,1,600.038879239037,0
101,19,f,15,4,2,2,1,0,77,1,673.569240967481,0
101,19,f,15,1,4,1,2,0,75,1,808.12733071707,0
101,19,f,15,3,2,2,1,0,90,1,923.522603991842,0
101,19,f,15,2,4,2,1,0,75,1,829.464426401501,0
101,19,f,15,4,2,2,1,0,77,1,762.940477936354,0
101,19,f,16,1,4,1,2,0,77,1,886.537519975718,0
101,19,f,16,2,4,2,1,0,77,1,794.461640256486,0
101,19,f,16,2,4,2,1,0,75,1,1041.24580191728,0
101,19,f,16,2,3,2,1,0,77,1,611.581002540333,0
101,19,f,16,3,1,1,2,0,75,1,1028.5729206098,0
101,19,f,16,1,3,1,2,0,65,1,738.039351344923,0
101,19,f,16,4,1,1,2,0,75,1,981.042446590436,0
101,19,f,16,1,4,1,2,0,77,1,743.161872264864,0
101,19,f,17,4,1,1,2,0,77,1,727.895431749857,0
101,19,f,17,4,2,2,1,0,90,1,1047.49243998049,0
101,19,f,17,3,2,2,1,0,77,1,715.713068798323,0
101,19,f,17,3,2,2,1,0,75,1,1422.21405194687,0
101,19,f,17,1,3,1,2,0,75,1,777.249728478637,0
101,19,f,17,2,4,2,1,0,77,1,770.421411111784,0
101,19,f,17,3,1,1,2,0,77,1,898.945068584908,0
101,19,f,17,1,3,1,2,0,90,1,896.867383758945,0
101,19,f,18,3,1,1,2,0,77,1,597.029360466877,0
101,19,f,18,4,1,1,2,0,65,1,701.01955372138,0
101,19,f,18,4,1,1,2,0,90,1,860.458847471818,0
101,19,f,18,4,1,1,2,0,77,1,592.288689219458,0
101,19,f,18,1,4,1,2,0,77,1,666.388052240109,0
101,19,f,18,4,2,2,1,0,77,1,827.836207317887,0
101,19,f,18,1,4,1,2,0,65,1,720.314885616972,0
101,19,f,18,1,4,1,2,0,77,1,700.4336484124,0
101,19,f,19,1,3,1,2,0,65,1,753.388500800611,0
101,19,f,19,3,1,1,2,0,90,1,915.229976135379,0
101,19,f,19,1,3,1,2,0,75,1,886.723766021532,0
101,19,f,19,3,2,2,1,0,65,1,953.835430940671,0
101,19,f,19,4,2,2,1,0,65,1,790.096479678141,0
101,19,f,19,2,3,2,1,0,77,1,770.948454218342,0
101,19,f,19,1,3,1,2,0,90,1,994.686403314518,0
101,19,f,19,3,1,1,2,0,75,1,852.478642076676,0
101,19,f,20,3,1,1,2,0,77,1,604.954627806364,0
101,19,f,20,3,2,2,1,0,77,1,720.301905746965,0
